,price,rating,brand,ram,ssd_storage,color,processor
0,69990.0,3,Hp,16.0,512,Silver,Snapdragon
1,49990.0,3,Acer,8.0,512,Silver,AMD
2,44999.0,4,Lenovo,8.0,512,Silver,AMD
3,69990.0,3,Dell,16.0,512,Grey,Intel
4,73990.0,4,Apple,8.0,256,Grey,Unknown
5,73990.0,4,Apple,8.0,256,Silver,Unknown
6,65990.0,4,Asus,16.0,512,Blue,Intel
7,67990.0,4,Asus,16.0,512,Silver,Intel
8,172490.0,4,Apple,16.0,1024,Silver,Unknown
9,464490.0,5,Apple,36.0,2048,Black,Unknown
10,42990.0,4,Acer,15.20558882235529,512,Gray,AMD
11,44990.0,4,Acer,8.0,256,Silver,AMD
12,35690.0,3,Acer,15.20558882235529,256,Silver,Intel
13,35990.0,1,Acer,8.0,256,Silver,Intel
14,57490.0,3,Dell,8.0,512,Black,Intel
15,62490.0,4,Dell,16.0,512,Black,Intel
16,82654.0,3,Lenovo,16.0,512,Grey,Unknown
17,29990.0,4,Hp,4.0,512,Gray,MediaTek
18,38700.0,2,Acer,8.0,512,Silver,AMD
19,50500.0,5,Hp,15.20558882235529,512,Silver,Intel
20,44990.0,4,Hp,12.0,512,Silver,Intel
21,49990.0,3,Acer,8.0,512,Silver,AMD
22,69990.0,3,Hp,16.0,512,Silver,Snapdragon
23,342490.0,4,Apple,24.0,2048,Silver,Unknown
24,47990.0,3,Acer,8.0,512,Silver,AMD
25,69790.0,4,Hp,16.0,512,Silver,AMD
26,49350.0,4,Hp,8.0,512,Silver,AMD
27,64390.0,3,Acer,15.20558882235529,512,Silver,Intel
28,73990.0,4,Apple,8.0,256,Grey,Unknown
29,61490.0,5,Hp,15.20558882235529,512,Silver,Intel
30,44990.0,5,Acer,8.0,256,Silver,AMD
31,194990.0,4,Apple,24.0,1024,Silver,Unknown
32,54990.0,4,Lenovo,8.0,512,Grey,AMD
33,95990.0,4,Hp,6.0,512,Blue,AMD
34,58800.0,4,Lenovo,15.20558882235529,512,Grey,Intel
35,68490.0,3,Lenovo,16.0,512,Grey,AMD
36,73990.0,4,Apple,8.0,256,Silver,Unknown
37,69999.0,3,Lenovo,16.0,512,Grey,AMD
38,60250.0,5,Acer,15.20558882235529,512,Silver,Intel
39,32990.0,4,Hp,4.0,512,Gray,MediaTek
40,82990.0,4,Asus,16.0,512,Silver,Intel
41,56900.0,5,Lenovo,16.0,512,Grey,AMD
42,54058.0,4,Lenovo,8.0,512,Grey,Intel
43,24990.0,3,Asus,4.0,64,Blue,MediaTek
44,55990.0,4,Lenovo,8.0,512,Grey,AMD
45,58990.0,4,Hp,16.0,512,Silver,Intel
46,58990.0,4,Asus,8.0,512,Silver,Intel
47,69990.0,3,Hp,16.0,512,Silver,Snapdragon
48,49990.0,3,Acer,8.0,512,Silver,AMD
49,342490.0,4,Apple,24.0,2048,Silver,Unknown
50,67400.0,3,Hp,16.0,512,Silver,AMD
51,25640.0,5,Maxbook,8.0,256,Silver,Unknown
52,64390.0,3,Acer,15.20558882235529,512,Silver,Intel
53,73990.0,4,Apple,8.0,256,Grey,Unknown
54,87990.0,4,Lenovo,24.0,1024,Grey,Intel
55,42999.0,3,Hp,8.0,512,Black,Intel
56,54990.0,4,Lenovo,8.0,512,Grey,AMD
57,68490.0,3,Lenovo,16.0,512,Grey,AMD
58,24990.0,3,Asus,4.0,64,Blue,MediaTek
59,68699.0,3,Hp,16.0,512,Silver,Intel
60,73990.0,4,Apple,8.0,256,Silver,Unknown
